source_file,subject,message_date,reported_at,dispatcher,row_in_message,raw_entry,location,issue,label,issue_time
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:56-05:00,SSAWALLI,4,44 POWDER HOUSE RD EXT MSW NOT OUT,44 POWDER HOUSE RD,EXT MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T08:07:33-05:00,SSAWALLI,5,83 BADGER RD RECYC NOT OUT,83 BADGER RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T09:07:04-05:00,SSAWALLI,6,7 HILLSIDE AVE RECYC NOT OUT,7 HILLSIDE AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T09:07:04-05:00,SSAWALLI,6,21 HILLSIDE AVE RECYC NOT OUT,21 HILLSIDE AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T09:07:04-05:00,SSAWALLI,6,26 HILLSIDE AVE RECYC NOT OUT,26 HILLSIDE AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T09:07:33-05:00,SSAWALLI,7,25 GRANDVIEW AVE RECYC NOT OUT,25 GRANDVIEW AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T09:07:33-05:00,SSAWALLI,8,135 HIGH ST RECYC NOT OUT,135 HIGH ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T10:05:29-05:00,SSAWALLI,9,29 BLAISDELL RD RECYC NOT OUT,29 BLAISDELL RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T10:05:29-05:00,SSAWALLI,9,30 BLAISDELL RD RECYC NOT OUT,30 BLAISDELL RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T10:11:22-05:00,SSAWALLI,10,5 WOODSIDE RD RECYC NOT OUT,5 WOODSIDE RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T10:11:22-05:00,SSAWALLI,10,15 WOODSIDE RD RECYC NOT OUT,15 WOODSIDE RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T10:37:38-05:00,SSAWALLI,11,152 HIGH STREET TRASH MSW NOT OUT,152 HIGH STREET,TRASH MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T10:37:38-05:00,SSAWALLI,11,156 HIGH STREET TRASH MSW NOT OUT,156 HIGH STREET,TRASH MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T10:37:38-05:00,SSAWALLI,11,158 HIGH STREET TRASH MSW NOT OUT,158 HIGH STREET,TRASH MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T10:37:38-05:00,SSAWALLI,12,7 WHITTIER RD RECYC NOT OUT,7 WHITTIER RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T10:37:38-05:00,SSAWALLI,12,24 WHITTIER RD RECYC NOT OUT,24 WHITTIER RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T10:37:38-05:00,SSAWALLI,12,30 WHITTIER RD RECYC NOT OUT,30 WHITTIER RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T10:37:38-05:00,SSAWALLI,12,34 WHITTIER RD RECYC NOT OUT,34 WHITTIER RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_05_26.msg,MEDFORD TAGS 02.05.26,2026-02-05T20:39:45Z,2026-02-05T09:04:26-05:00,SSAWALLI,1,"118 HARVARD AVE APT 2, AREA RUG NOT OUT",118 HARVARD AVE APT 2,AREA RUG NOT OUT,special_item_not_out,
MEDFORD TAGS 02_05_26.msg,MEDFORD TAGS 02.05.26,2026-02-05T20:39:45Z,2026-02-05T09:04:49-05:00,SSAWALLI,2,"161 SHARON ST, MICROWAVE NOT OUT",161 SHARON ST,MICROWAVE NOT OUT,special_item_not_out,
MEDFORD TAGS 02_05_26.msg,MEDFORD TAGS 02.05.26,2026-02-05T20:39:45Z,2026-02-05T09:49:48-05:00,SSAWALLI,3,71 SOUTH ST MSW NOT OUT,71 SOUTH ST,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_05_26.msg,MEDFORD TAGS 02.05.26,2026-02-05T20:39:45Z,2026-02-05T09:49:48-05:00,SSAWALLI,3,75 SOUTH ST MSW NOT OUT,75 SOUTH ST,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_05_26.msg,MEDFORD TAGS 02.05.26,2026-02-05T20:39:45Z,2026-02-05T11:13:19-05:00,SSAWALLI,4,20 WASON ST MSW NOT OUT,20 WASON ST,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_06_26.msg,MEDFORD TAGS 02.06.26,2026-02-06T20:43:02Z,2026-02-06T11:45:36-05:00,SSAWALLI,1,15-17 COLBY ST BLOCKED BY CAR AND SNOW - MSW NOT SERVICED,15-17 COLBY ST,BLOCKED BY CAR AND SNOW - MSW NOT SERVICED,blocked,
MEDFORD TAGS 02_06_26.msg,MEDFORD TAGS 02.06.26,2026-02-06T20:43:02Z,2026-02-06T11:45:36-05:00,SSAWALLI,2,"153 FELLS AVE - STILL IN YARD, NOT OUT FOR PICKUP",153 FELLS AVE,"STILL IN YARD, NOT OUT FOR PICKUP",other,
MEDFORD TAGS 02_06_26.msg,MEDFORD TAGS 02.06.26,2026-02-06T20:43:02Z,2026-02-06T11:45:36-05:00,SSAWALLI,3,21 6TH ST MSW NOT OUT,21 6TH ST,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_06_26.msg,MEDFORD TAGS 02.06.26,2026-02-06T20:43:02Z,2026-02-06T11:45:36-05:00,SSAWALLI,3,23 6TH ST MSW NOT OUT,23 6TH ST,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_10_26.msg,MEDFORD TAGS 02.10.26,2026-02-10T21:04:01Z,2026-02-10T09:03:02-05:00,SSAWALLI,1,176 FELLS AVE MSW NOT OUT,176 FELLS AVE,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_10_26.msg,MEDFORD TAGS 02.10.26,2026-02-10T21:04:01Z,2026-02-10T10:56:15-05:00,SSAWALLI,2,122 STURGES ST MSW NOT OUT,122 STURGES ST,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_10_26.msg,MEDFORD TAGS 02.10.26,2026-02-10T21:04:01Z,2026-02-10T10:56:15-05:00,SSAWALLI,3,"16 ELM ST , COFFE TABLE AND DESK NOT OUT",16 ELM ST,COFFE TABLE AND DESK NOT OUT,special_item_not_out,
MEDFORD TAGS 02_10_26.msg,MEDFORD TAGS 02.10.26,2026-02-10T21:04:01Z,2026-02-10T11:09:32-05:00,SSAWALLI,4,SHIP AVE GREEN CONDOS - DUMPSTER BLOCKED BY CAR. RCN TKT PLACED FOR TOMORROW,SHIP AVE GREEN CONDOS,DUMPSTER BLOCKED BY CAR. RCN TKT PLACED FOR TOMORROW,blocked,
MEDFORD TAGS 02_10_26.msg,MEDFORD TAGS 02.10.26,2026-02-10T21:04:01Z,2026-02-10T11:19:01-05:00,SSAWALLI,5,RCN TICKET PLACED FOR SHIP AVE GREEN CONDOS FOR RECYC TOMORROW,RCN TICKET PLACED FOR SHIP AVE GREEN CONDOS,FOR RECYC TOMORROW,other,
MEDFORD TAGS 02_10_26.msg,MEDFORD TAGS 02.10.26,2026-02-10T21:04:01Z,2026-02-10T14:19:33-05:00,SSAWALLI,6,"198 WASHINGTON ST APT 1, AC NOT OUT",198 WASHINGTON ST APT 1,AC NOT OUT,special_item_not_out,
MEDFORD TAGS 02_10_26.msg,MEDFORD TAGS 02.10.26,2026-02-10T21:04:01Z,2026-02-10T14:19:33-05:00,SSAWALLI,7,SHIP AVE – GREEN CONDOS – RECYCLE NOT SVCD,SHIP AVE - GREEN CONDOS,RECYCLE NOT SVCD,other,
MEDFORD TAGS 02_12_26.msg,MEDFORD TAGS 02.12.26,2026-02-12T20:37:44Z,2026-02-12T06:56:53-05:00,SSAWALLI,1,9 PLAYSTEAD RD - CARDBOARD OUTSIDE OF BARREL,9 PLAYSTEAD RD,CARDBOARD OUTSIDE OF BARREL,other,
MEDFORD TAGS 02_16_26.msg,MEDFORD TAGS 02.16.26,2026-02-16T00:00:00-05:00,2026-02-16T08:09:59-05:00,SSAWALLI,1,2 FRANKLIN ST RECYC NOT OUT,2 FRANKLIN ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_16_26.msg,MEDFORD TAGS 02.16.26,2026-02-16T00:00:00-05:00,2026-02-16T08:09:59-05:00,SSAWALLI,1,6 FRANKLIN ST RECYC NOT OUT,6 FRANKLIN ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_16_26.msg,MEDFORD TAGS 02.16.26,2026-02-16T00:00:00-05:00,2026-02-16T10:05:01-05:00,SSAWALLI,2,13 LAWRENCE ST MSW NOT OUT,13 LAWRENCE ST,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_16_26.msg,MEDFORD TAGS 02.16.26,2026-02-16T00:00:00-05:00,2026-02-16T10:05:01-05:00,SSAWALLI,3,146 SPRING ST MSW NOT OUT,146 SPRING ST,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_16_26.msg,MEDFORD TAGS 02.16.26,2026-02-16T00:00:00-05:00,2026-02-16T10:05:01-05:00,SSAWALLI,4,46 SALEM ST MSW NOT OUT,46 SALEM ST,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_16_26.msg,MEDFORD TAGS 02.16.26,2026-02-16T00:00:00-05:00,2026-02-16T12:49:39-05:00,SSAWALLI,5,1028 FELLSWAY - XTRA RECYC ON THE GROUND,1028 FELLSWAY,XTRA RECYC ON THE GROUND,other,
MEDFORD TAGS 02_16_26.msg,MEDFORD TAGS 02.16.26,2026-02-16T00:00:00-05:00,2026-02-16T15:24:37-05:00,SSAWALLI,6,8688 EVANS ST RECYC NOT OUT,8688 EVANS ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_16_26.msg,MEDFORD TAGS 02.16.26,2026-02-16T00:00:00-05:00,2026-02-16T15:42:35-05:00,SSAWALLI,7,"22 PINKERT ST - RECYC WAS SVCD, CUST THEN REFILLED AND PUT BACK OUT",22 PINKERT ST,"RECYC WAS SVCD, CUST THEN REFILLED AND PUT BACK OUT",other,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T06:45:38-05:00,SSAWALLI,1,0 GOVERNORS AVE MSW NOT OUT,0 GOVERNORS AVE,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T07:34:19-05:00,SSAWALLI,2,23 WINSLOW AVE RECYC NOT OUT,23 WINSLOW AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T07:34:19-05:00,SSAWALLI,2,29 WINSLOW AVE RECYC NOT OUT,29 WINSLOW AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T07:34:19-05:00,SSAWALLI,2,33 WINSLOW AVE RECYC NOT OUT,33 WINSLOW AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T07:34:19-05:00,SSAWALLI,2,49 WINSLOW AVE RECYC NOT OUT,49 WINSLOW AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T07:34:19-05:00,SSAWALLI,2,57 WINSLOW AVE RECYC NOT OUT,57 WINSLOW AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T07:34:19-05:00,SSAWALLI,2,69 WINSLOW AVE RECYC NOT OUT,69 WINSLOW AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T07:36:35-05:00,SSAWALLI,3,10 MANGLES ST RECYC NOT OUT,10 MANGLES ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T07:36:35-05:00,SSAWALLI,3,17 MANGLES ST RECYC NOT OUT,17 MANGLES ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T07:36:35-05:00,SSAWALLI,3,27 MANGLES ST RECYC NOT OUT,27 MANGLES ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T07:36:35-05:00,SSAWALLI,3,41 MANGLES ST RECYC NOT OUT,41 MANGLES ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T07:36:35-05:00,SSAWALLI,3,53 MANGLES ST RECYC NOT OUT,53 MANGLES ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:03:29-05:00,SSAWALLI,4,"17 , 35,AND 51 WILSON ST RECYC NOT OUT","17 , 35,AND 51 WILSON ST",RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:03:29-05:00,SSAWALLI,5,15 CLEVELAND ST RECYC NOT OUT,15 CLEVELAND ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:03:29-05:00,SSAWALLI,5,21 CLEVELAND ST RECYC NOT OUT,21 CLEVELAND ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:03:29-05:00,SSAWALLI,5,29 CLEVELAND ST RECYC NOT OUT,29 CLEVELAND ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:03:29-05:00,SSAWALLI,6,60 WILSON ST RECYC NOT OUT,60 WILSON ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:03:29-05:00,SSAWALLI,6,56 WILSON ST RECYC NOT OUT,56 WILSON ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:03:29-05:00,SSAWALLI,6,52 WILSON ST RECYC NOT OUT,52 WILSON ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:03:29-05:00,SSAWALLI,6,27 WILSON ST RECYC NOT OUT,27 WILSON ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:03:29-05:00,SSAWALLI,7,54 CHERRY ST MSW NOT OUT,54 CHERRY ST,MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:07:42-05:00,SSAWALLI,8,71 PARK AVE RECYC NOT OUT,71 PARK AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:07:42-05:00,SSAWALLI,8,73 PARK AVE RECYC NOT OUT,73 PARK AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:07:42-05:00,SSAWALLI,8,125 PARK AVE RECYC NOT OUT,125 PARK AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:10:48-05:00,SSAWALLI,9,80 HORNE AVE RECYC NOT OUT,80 HORNE AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:10:48-05:00,SSAWALLI,9,72 HORNE AVE RECYC NOT OUT,72 HORNE AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:44:29-05:00,SSAWALLI,10,69 BELLE AVE RECYC NOT OUT,69 BELLE AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:44:29-05:00,SSAWALLI,10,81 BELLE AVE RECYC NOT OUT,81 BELLE AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:44:29-05:00,SSAWALLI,10,121 BELLE AVE RECYC NOT OUT,121 BELLE AVE,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:50:19-05:00,SSAWALLI,11,31 DOONAN ST RECYC NOT OUT,31 DOONAN ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:50:19-05:00,SSAWALLI,11,33 DOONAN ST RECYC NOT OUT,33 DOONAN ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:50:19-05:00,SSAWALLI,11,49 DOONAN ST RECYC NOT OUT,49 DOONAN ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T08:50:19-05:00,SSAWALLI,11,65 DOONAN ST RECYC NOT OUT,65 DOONAN ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,12,22 DOANE RD RECYC NOT OUT,22 DOANE RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,12,12 DOANE RD RECYC NOT OUT,12 DOANE RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,12,8 DOANE RD RECYC NOT OUT,8 DOANE RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,12,2 DOANE RD RECYC NOT OUT,2 DOANE RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,13,3 SAWYER ST CARDBOARD OUTSIDE OF BARREL RECYC,3 SAWYER ST,CARDBOARD OUTSIDE OF BARREL RECYC,other,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,14,5 SHORT ST RECYC NOT OUT,5 SHORT ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,14,9 SHORT ST RECYC NOT OUT,9 SHORT ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,14,11 SHORT ST RECYC NOT OUT,11 SHORT ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,14,15 SHORT ST RECYC NOT OUT,15 SHORT ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,14,17 SHORT ST RECYC NOT OUT,17 SHORT ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,14,19 SHORT ST RECYC NOT OUT,19 SHORT ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,14,14 SHORT ST RECYC NOT OUT,14 SHORT ST,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_17_26.msg,MEDFORD TAGS 02.17.26,2026-02-17T00:00:00-05:00,2026-02-17T09:16:01-05:00,SSAWALLI,15,"5 HICKORY AVE, MSW AND RECYC NOT OUT, BURIED IN SNOWBANK",5 HICKORY AVE,"MSW AND RECYC NOT OUT, BURIED IN SNOWBANK",msw_and_recyc_not_out,
